"STUDY_ID","REALM","CLIMATE","TAXA","TITLE","AB_BIO","DATA_POINTS","START_YEAR","END_YEAR","NUMBER_OF_SPECIES","NUMBER_OF_SAMPLES","NUMBER_LAT_LONG","TOTAL","ABUNDANCE_TYPE","BIOMASS_TYPE"
306,"Freshwater","Temperate","Reptiles","Edwin S. George Reserve Turtles. The Global Population Dynamics Database Version 2","A",16,1975,1992,3,16,1,46,"Count",NA
307,"Terrestrial","Temperate","Terrestrial plants","Kellogg LTER seed bank","A",3,1993,2002,83,405,1,2084,"Count",NA
308,"Terrestrial","Temperate","Mammals","Powdermill Nature Reserve monitored small mammal populations from 1979-1999.","AB",21,1979,1999,14,30243,1,35398,"Count","Weight"
310,"Marine","Temperate/Tropical","Marine invertebrates","Marine microplankton diversity database","A",11,1992,2002,576,1038,293,37524,"Density",NA
311,"Terrestrial","Temperate","Mammals","Seasonal summary of numbers of small mammals on 14 LTER traplines in prairie habitats at Konza Prairie","A",33,1981,2013,15,847,1,2458,"Count",NA
312,"Terrestrial","Tropical","Mammals","Stability in a Multi-Species Assemblage of Large Herbivores in East Africa","A",9,1959,1984,13,9,1,117,"Count",NA
313,"Terrestrial","Temperate","Terrestrial invertebrates","Successional Dynamics on a Resampled Chronosequence Core Old Field Grasshopper Sampling","A",18,1989,2006,61,1409,1,7958,"Count",NA
314,"Terrestrial","Temperate","Mammals","Successional Dynamics on a Resampled Chronosequence Small mammal abundance","A",3,1983,1985,6,110,1,118,"Count",NA
315,"Terrestrial","Temperate","Terrestrial invertebrates","Jornada Grasshopper Data","A",3,1983,1985,40,1395,1,3027,"Count",NA
316,"Terrestrial","Temperate","Reptiles","Lizard pitfall trap data (LTER-II LTER-III)","AB",18,1989,2006,21,2620,1,2650,"Count","Weight"
317,"Terrestrial","Temperate","Terrestrial plants","Mangrove Forest Growth from the Shark River Slough Everglades National Park (FCE) South Florida from January 1995 to Present","A",9,1995,2005,4,33,4,93,"Count",NA
319,"Terrestrial","Temperate","All","Effects of rangeland management on community dynamics of herpetofauna to the tallgrass prairie","A",14,1989,2003,35,14,1,232,"Count",NA
321,"Terrestrial","Temperate","Mammals","Small Mammal Exclosure Study. Jornada LTER.  SMES rodent trapping data","AB",13,1995,2007,19,11757,766,12787,"Count","Weight"
322,"Terrestrial","Tropical","Terrestrial plants","Forest destructuring as revealed by the temporal dynamics of fundamental species - Case study of Santa Genebra Forest in Brazil","A",4,1983,2004,132,400,1,789,"Count",NA
323,"Terrestrial","Tropical","Reptiles","The Response of Anolis Lizards to Hurricane-Induced Habitat Changes in a Puerto Rican Rain Forest.","A",4,1989,1992,4,18,1,54,"Count",NA
324,"Terrestrial","Tropical","Terrestrial plants","Temporal evaluation of natural regeneration in a semi-deciduous forest in Pirenopolis. Goias. Brazil","A",5,2003,2007,60,65,1,237,"Count",NA
325,"Terrestrial","Tropical","Terrestrial plants","Temporal evaluation of natural regeneration in a semi-deciduous forest in Pirenopolis. Goias. Brazil","A",5,2003,2007,91,79,1,727,"Count",NA
326,"Terrestrial","Tropical","Terrestrial plants","Temporal evaluation of natural regeneration in a semi-deciduous forest in Pirenopolis. Goias. Brazil","A",2,2003,2007,140,32,1,1591,"Count",NA
327,"Terrestrial","Temperate","Mammals","Fray Jorge Small Mammals 1989-2005","AB",17,1989,2005,12,171843,1,256469,"Count","Weight"
328,"Freshwater","Temperate","Amphibians","The Rainbow Bay Long-term Study","A",30,1979,2008,10,30,1,301,"Count",NA
329,"Terrestrial","Tropical","Terrestrial plants","Twenty years tree demography in an undisturbed Dipterocarp permanent sample plot at Uppangala Western Ghats of India","A",6,1990,2010,102,48,1,2397,"Count",NA
330,"Marine","Temperate/Tropical","Marine invertebrates","Over 75 years of zooplankton data from Australia","A",49,1938,2014,639,4179,2277,80764,"Density",NA
332,"Freshwater","Temperate","Fish","Stream Fish Assemblage stability in a southern Appalachian stream (Coweeta Hydro Lab 1984 - 1995)","A",12,1984,1995,14,112,1,590,"Count",NA
333,"Terrestrial","Temperate","Birds","Weekly record of bird species observed on Konza Prairie","A",29,1981,2009,132,903,1,9261,"Presence/Absence",NA
334,"Terrestrial","Polar","Terrestrial plants","Above ground plant biomass in a mesic acidic tussock tundra experimental site from 1982 to 20000 Toolik lake Alaska","B",6,1982,2000,40,608,1,14003,NA,"Weight"
335,"Freshwater","Temperate","Fish","Stochasticity in structural and functional characteristics of an Indiana stream fish assemblage  a test of community theory","A",12,1962,1974,62,27,1,588,"Count",NA
336,"Terrestrial","Temperate","Terrestrial plants","Long term monitoring and experimental manipulation of a Chihuahuan Desert ecosystem near Portal Arizona","A",14,1989,2002,100,611,1,35978,"Count",NA
337,"Terrestrial","Temperate","Birds","Mountain Birdwatch","A",11,2000,2010,87,45,1,763,"Presence/Absence",NA
338,"Marine","Temperate","Fish","Dynamics and Organization of a Rocky Intertidal Fish Assemblage","A",3,1979,1981,29,13,1,203,"Count",NA
339,"Terrestrial","Temperate","Birds","Species trends turnover and composition of a woodland bird community in southern Sweden during a period of 57 years.","A",57,1953,2009,39,57,1,1210,"Count",NA
340,"Terrestrial","Temperate","Terrestrial plants","Small Mammal Exclosure Study (SMES) Vegetation Data from the Chihuahuan Desert","A",15,1995,2009,93,128,1,1608,"Count",NA
341,"Terrestrial","Temperate/Tropical","Amphibians","Brazil Dataset 1","A",3,2014,2016,73,111,41,2009,"Count",NA
342,"Terrestrial","Tropical","Terrestrial plants","Brazil Dataset 2","A",3,1992,2010,69,3,1,184,"Count",NA
343,"Terrestrial","Tropical","Terrestrial plants","Brazil Dataset 3","A",2,1992,2009,84,4,2,180,"Count",NA
344,"Terrestrial","Tropical","Terrestrial plants","Brazil Dataset 4","A",2,1992,2004,65,2,1,118,"Count",NA
345,"Terrestrial","Tropical","Terrestrial plants","Brazil Dataset 5","A",2,1993,2005,48,2,1,84,"Count",NA
346,"Terrestrial","Tropical","Terrestrial plants","Monitoring experiences at the Atlantic rainforest biome using permanent plots.","A",3,2002,2011,131,768,1,16900,"Count",NA
347,"Marine","Tropical","Marine invertebrates","Zooplankton community of the Vitoria Bay estuarine system (southeastern Brazil). Characterization during a three-year study","A",3,1998,2000,64,30,10,2074,"Count",NA
348,"Terrestrial","Temperate/Tropical","Mammals","Bats (Mammalia Chiroptera) in restinga in the municipality of Jaguaruna south of Santa Catarina Brazil.","AB",10,2006,2016,13,16,2,177,"Count","Weight"
349,"Marine","Temperate","Benthos","St. M polychaete species time-series","AB",10,1991,2011,141,89,21,1730,"Count","Weight"
350,"Marine","Temperate","Benthos","Megafauna PAP time series","AB",12,1989,2011,50,15,1,563,"Density","Weight"
351,"Marine","Temperate","Benthos","Megafauna Sta M time series","AB",13,1989,2004,10,37,1,350,"Density","Weight"
352,"Terrestrial","Tropical","Terrestrial plants","Flooded forest plot sampling in Peru","A",4,1999,2002,98,120,1,906,"Count",NA
353,"Terrestrial","Tropical","Terrestrial plants","La Planada Forest Dynamics Plots","A",2,1997,2003,180,2,1,345,"Count",NA
354,"Marine","Temperate/Tropical","Marine plants","A database of marine phytoplankton abundance biomass and species composition in Australian waters","AB",24,1928,2015,734,5536,2258,75604,"Density","Weight"
355,"Terrestrial","Temperate","Terrestrial plants","Plant Species Composition on Selected Watersheds at Konza Prairie","B",33,1983,2015,324,44696,1,580983,NA,"Cover"
356,"Terrestrial","Tropical","Terrestrial plants","Long-term stem inventory data from tropical rain forest plots in Australia","A",34,1971,2013,478,258,20,14938,"Count",NA
357,"Terrestrial","Temperate","Mammals","Small Mammal Trapping Webs on the Central Plains Experimental Range","A",13,1994,2006,10,506,1,1104,"Count",NA
358,"Terrestrial","Temperate","Birds","Neotropical Migratory Bird Communities in a Developing Pine Plantation","A",16,1977,1992,14,16,1,140,"Density",NA
359,"Marine","Temperate","Fish","SBC LTER Reef Kelp Forest Community Dynamics Fish abundance","A",13,2000,2012,61,487,9,3285,"Count",NA
360,"Terrestrial","Temperate","Birds","Bialowieza National Park bird assemblage","B",40,1975,2014,86,277,1,10061,NA,"Weight"
361,"Terrestrial","Temperate","Birds","A long-term bird population study in an Appalachian spruce forest","A",22,1962,1983,20,22,1,213,"Count",NA
362,"Terrestrial","Tropical","Mammals","Plant and small-mammal responses to large-herbivore exclusion in an African savanna","A",4,2009,2012,18,11052,81,30969,"Count",NA
363,"Terrestrial","Temperate","Birds","The 37-year dynamics of a subalpine bird community with special emphasis on the influence of environmental temperature and Epirrita autumnata cycles.","A",37,1963,1999,35,37,1,636,"Count",NA
364,"Freshwater","Temperate","Freshwater plants","Long-term reductions in anthropogenic nutrients link to improvements in Chesapeake Bay habitat","B",14,1990,2007,14,14,1,196,NA,"Cover"
365,"Marine","Temperate","Fish","Hahei marine dataset (1997-2002)","A",6,1997,2002,44,1477,120,6409,"Count",NA
366,"Terrestrial","Temperate","Mammals","Small Mammal Exclosure Study (SMES)","A",25,1989,2013,24,342,1,3389,"Count",NA
367,"Marine","Temperate","Marine invertebrates","Monitoring site 1000 Coastal zone research - Tidal flat survey","A",6,2008,2013,412,2059,444,7599,"Count",NA
368,"Freshwater","Temperate","Freshwater invertebrates","Monitoring site 1000 Land waters research- Lakes benthic animal research","A",2,2010,2011,12,2,1,20,"Count",NA
369,"Terrestrial","Temperate","Terrestrial invertebrates","Monitoring site 1000 Alpine research - Surface wandering beetles","A",6,2009,2014,29,29,3,158,"Count",NA
370,"Marine","Temperate","Marine plants","Monitoring site 1000 coastal zone research - Algae survey permanent quadrats","B",7,2008,2014,159,300,6,2917,NA,"Cover"
371,"Marine","Temperate","Marine plants","Monitoring site 1000 coastal zone research - Algae survey transects","B",7,2008,2014,168,431,6,2887,NA,"Cover"
372,"Terrestrial","Temperate","Birds","Monitoring site 1000 Village survey - Bird survey data","A",9,2005,2013,219,1435,86,25195,"Count",NA
373,"Terrestrial","Temperate","Mammals","Village survey Medium and large mammal survey data","A",8,2005,2012,25,18189,31,22347,"Count",NA
374,"Marine","Temperate","Birds","Monitoring site 1000 Shorebird Survey","A",11,2004,2014,70,13830,143,38674,"Count",NA
375,"Terrestrial","Temperate","Terrestrial invertebrates","Surface of the earth wandering beetles survey data","AB",11,2004,2014,424,4553,32,19937,"Count","Weight"
376,"Terrestrial","Temperate","Birds","Monitoring site 1000 forest and grassland research - Bird survey data -1st phase","A",5,2004,2008,240,1122,316,18417,"Count",NA
377,"Terrestrial","Temperate","Birds","Monitoring site 1000 forest and grassland research - Bird survey data -2nd phase","A",6,2008,2013,251,8735,437,78253,"Count",NA
378,"Marine","Temperate","Marine invertebrates","Calafuria Mid-shore Intertidal Dataset (1991-2014)","A",16,1991,2006,42,95,1,1239,"Count",NA
379,"Marine","Temperate","Marine invertebrates","Calafuria Low-shore Intertidal Dataset (1991-2014)","A",22,1991,2014,61,76,1,1153,"Count",NA
380,"Terrestrial","Temperate","Terrestrial invertebrates","Monitoring butterfly numbers","A",10,1978,1987,23,10,1,217,"Count",NA
381,"Terrestrial","Temperate","All","Long-term sampling of a herpetofaunal assemblage on an isolated urban bushland","A",7,1986,1992,29,7,1,160,"Count",NA
382,"Terrestrial","Temperate","Mammals","Small Mammals and Vegetation Changes After Fire in a Mixed Conifer-Hardwood Forest","A",13,1955,1967,7,39,1,214,"Count",NA
383,"Terrestrial","Temperate","Terrestrial plants","Boubin","AB",3,1972,2010,9,3,1,24,"Count","Weight"
384,"Terrestrial","Temperate","Terrestrial plants","Cahnov-Soutok","AB",3,1973,2006,14,3,1,40,"Count","Weight"
385,"Terrestrial","Temperate","Terrestrial plants","Milesice","AB",3,1972,2011,5,3,1,14,"Count","Weight"
386,"Terrestrial","Temperate","Terrestrial plants","Mionsi-V","AB",2,1994,2009,6,2,1,12,"Count","Weight"
387,"Terrestrial","Temperate","Terrestrial plants","Mionsi-R","AB",3,1958,2009,4,3,1,12,"Count","Weight"
388,"Terrestrial","Temperate","Terrestrial plants","Mionsi-C","AB",3,1957,2014,5,3,1,15,"Count","Weight"
389,"Terrestrial","Temperate","Terrestrial plants","Ranspurk","AB",3,1973,2006,20,3,1,49,"Count","Weight"
390,"Terrestrial","Temperate","Terrestrial plants","Razula","AB",3,1972,2009,8,3,1,18,"Count","Weight"
391,"Terrestrial","Temperate","Terrestrial plants","Salajka","AB",3,1974,2007,6,3,1,18,"Count","Weight"
392,"Terrestrial","Temperate","Terrestrial plants","Stozec","AB",3,1974,2013,10,3,1,29,"Count","Weight"
393,"Terrestrial","Temperate","Terrestrial plants","Velka Ples","AB",3,1976,2013,15,3,1,40,"Count","Weight"
394,"Terrestrial","Temperate","Terrestrial plants","Zakova hora","AB",3,1974,2011,10,3,1,26,"Count","Weight"
395,"Terrestrial","Temperate","Terrestrial plants","Zofin","AB",3,1975,2008,9,3,1,24,"Count","Weight"
396,"Terrestrial","Temperate","Terrestrial plants","Doutnac","AB",2,2006,2016,22,2,1,44,"Count","Weight"
397,"Terrestrial","Temperate","Terrestrial plants","Polednik","AB",2,2002,2010,6,2,1,11,"Count","Weight"
398,"Terrestrial","Temperate","Terrestrial plants","Polom","AB",2,1973,1995,16,2,1,31,"Count","Weight"
399,"Terrestrial","Temperate","Terrestrial plants","V Kluci","AB",2,1973,2000,8,2,1,15,"Count","Weight"
400,"Terrestrial","Temperate","Terrestrial plants","Jirina","A",2,1978,1999,9,2,1,17,"Count",NA
401,"Terrestrial","Temperate","Terrestrial plants","Kohoutov","A",2,1978,1998,11,2,1,21,"Count",NA
402,"Freshwater","Tropical","Fish","Brazil Dataset 6","A",6,2010,2015,74,42,7,926,"Count",NA
403,"Freshwater","Tropical","Amphibians","Community ecology of anura amphibia at Northwest region of Sao Paulo state","A",7,1989,1995,16,7,1,276,"Count",NA
404,"Terrestrial","Tropical","Terrestrial plants","Brazil Dataset 7","A",3,2014,2016,54,239,1,575,"Density",NA
405,"Terrestrial","Tropical","Terrestrial plants","Brazil Dataset 8","A",3,2009,2011,36,120,5,697,"Density",NA
406,"Terrestrial","Temperate","Terrestrial plants","Short-term changes caused by fire and mowing in Brazilian?Campos?grasslands with different long-term fire histories","A",3,2005,2007,117,33,1,841,"Density",NA
407,"Marine","Temperate","Fish","Conicyt-Fondecyt Fish Data","AB",2,2012,2013,15,108,2,293,"Density","Weight"
408,"Marine","Temperate","Marine invertebrates","Conicyt-Fondecyt Turf Algae Data","B",2,2012,2013,18,369,6,1113,NA,"Cover"
409,"Marine","Temperate","Fish","Conicyt-Fondecyt Fish Data","AB",2,2012,2013,20,265,5,798,"Density","Weight"
412,"Marine","Temperate","Fish","Icthyoplankton data collected from Yenliao Bay in 6 stations northeast of Taiwan (1995-2000)","A",6,1995,2000,214,296,6,1955,"Density",NA
413,"Terrestrial","Temperate","Birds","Bird populations in east central Illinois. Fluctuations variations and development over a half-century","A",44,1927,1976,60,177,1,1196,"Density",NA
414,"Terrestrial","Temperate","Birds","Bird populations in east central Illinois. Fluctuations variations and development over a half-century","A",48,1924,1976,48,48,1,963,"Density",NA
415,"Terrestrial","Temperate","Birds","Bird populations in east central Illinois. Fluctuations variations and development over a half-century","A",8,1949,1967,45,52,1,310,"Density",NA
416,"Terrestrial","Temperate","Birds","Bird populations in east central Illinois. Fluctuations variations and development over a half-century","A",25,1946,1971,53,118,1,766,"Density",NA
418,"Marine","Tropical","Fish","Long-term Monitoring of the Great Barrier reef","A",24,1992,2015,249,3256,279,147466,"Presence/Absence",NA
419,"Marine","Temperate","Birds","Data collected aboard cruises off the coast of the Western Antarctic Penninsula","A",19,1993,2011,54,342,1,3050,"Count",NA
420,"Terrestrial","Polar/Temperate","Birds","Species composition and population fluctuations of alpine bird communities during 38 years in the Scandinavian mountain range","A",38,1964,2001,47,99,2,1010,"Count",NA
421,"Terrestrial","Temperate","Terrestrial invertebrates","Boulder County Open Space butterfly diversity and abundance","A",3,1999,2000,58,314,66,1574,"Count",NA
422,"Terrestrial","Temperate","Terrestrial invertebrates","Monitoring site 1000 Alpine research - Butterfly Survey","A",6,2009,2014,43,23,6,159,"Count",NA
423,"Terrestrial","Temperate","Terrestrial invertebrates","Monitoring site 1000 Alpine research - Butterfly Survey","A",6,2009,2014,46,26,12,180,"Count",NA
424,"Terrestrial","Temperate","Terrestrial invertebrates","Monitoring site 1000 Alpine research - Bumblebee Survey","A",5,2010,2014,7,36,8,132,"Count",NA
425,"Marine","Temperate","Benthos","Faunal communities and habitat characteristics of the Big Bend seagrass meadows 2009–2010","A",2,2009,2010,319,169,169,5029,"Count",NA
426,"Freshwater","Temperate","Freshwater invertebrates","Phytoplankton time series from Lake Zurich","B",35,1976,2010,64,388,1,2082,NA,"Volume"
427,"Freshwater","Temperate","Freshwater invertebrates","Zooplankton time series from Lake Zurich","AB",32,1977,2008,65,465,1,4819,"Count","Volume"
428,"Marine","Temperate","All","Long term monitoring of fish abundances from coastal SKagerrak","A",97,1919,2015,59,10725,200,101221,"Count",NA
429,"Marine","Tropical","Marine invertebrates","Scleractinian corals from Orpheus and Magnetic Islands 2013 to 2016","B",4,2013,2016,180,30,8,734,NA,"Cover"
430,"Freshwater","Temperate","Fish","The New Zealand Freshwater Fish Database - Electric fishing - Backpack","A",32,1985,2016,57,9457,8984,22054,"Count",NA
431,"Freshwater","Temperate","Fish","The New Zealand Freshwater Fish Database - Traps- Gee Minnow traps","A",33,1984,2016,44,2404,2059,3804,"Count",NA
432,"Freshwater","Temperate","Fish","The New Zealand Freshwater Fish Database - Observation (Spotlighting visual)","A",19,1998,2016,36,1354,1291,3520,"Count",NA
433,"Freshwater","Polar","Freshwater invertebrates","Zooplankton density for lake samples collected near Toolik Lake Arctic LTER in the summers (1983-1992 & 1993-2002)","A",18,1983,2002,18,643,32,2729,"Count",NA
434,"Freshwater","Polar","Freshwater invertebrates","Summer Phytoplankton Densities 1992-2001","A",10,1992,2001,50,61,4,450,"Count",NA
435,"Marine","Polar/Temperate","Marine invertebrates","Zooplankton collected with a 2-m 700-um net towed from surface to 120 m aboard Palmer Station Antarctica LTER annual cruises off the western antarctic peninsula 2009 - present","AB",8,2009,2016,40,300,300,5187,"Count","Volume"
436,"Marine","Tropical","Fish","Karimunjawa WCS fish survey","AB",5,2005,2012,394,1056,43,34176,"Density","Weight"
437,"Marine","Tropical","Fish","Aceh WCS fish survey 2010 to 2016","AB",4,2010,2016,188,63,16,2340,"Density","Weight"
438,"Marine","Tropical","Fish","Aceh WCS fish surveys","AB",7,2006,2014,598,1097,29,35263,"Density","Weight"
439,"Terrestrial","Temperate","Birds","Long-term dynamics of bird populations in pine forests of Ilmen Nature Reserve during the breeding period individuals / km2","A",13,1985,1997,52,13,1,280,"Density",NA
440,"Terrestrial","Temperate","Birds","Long-term dynamics of bird populations in pine-birch forests of Ilmen Nature Reserve during the breeding period individuals / km2","A",13,1985,1997,68,13,1,493,"Density",NA
441,"Terrestrial","Temperate","Birds","Long-term dynamics of bird populations in birch forests of Ilmen Nature Reserve during the breeding period individuals / km2","A",13,1985,1997,61,14,1,384,"Count",NA
442,"Terrestrial","Temperate","Birds","Composition and abundance of bird species in the village Matabay in June 1980-1985 (absolute indicators (area 025 km2))","A",6,1980,1985,33,6,1,145,"Count",NA
443,"Terrestrial","Temperate","Birds","Composition and abundance of bird species in the village Verhnjaja Elovka in June 1980-1985 (absolute indicators (area 025 km2))","A",4,1980,1983,35,4,1,87,"Count",NA
444,"Terrestrial","Temperate","Birds","The dynamics of species composition and abundance of migratory birds of prey in the Irkut River mouth (absolute figures)","A",5,1983,1987,20,5,1,59,"Density",NA
445,"Terrestrial","Temperate","Birds","A number of waterfowl after periods of breeding and molting in the lower reaches of Ob River (thous. individuals / 22 thous. km2)","A",3,1976,1978,11,3,1,33,"Density",NA
446,"Terrestrial","Temperate","Mammals","The density of population (ind/1000ha.) of hunting species of mammals in the Republic of Mordovia (Chamzinsky district)","A",5,2007,2011,9,5,1,45,"Density",NA
447,"Terrestrial","Temperate","Mammals","Long-term population dynamics of small mammals in the Natural Boundary Morozova Gora (individuals / 100 trap-nights)","A",9,2006,2014,10,9,1,48,"Density",NA
448,"Terrestrial","Temperate","Mammals","Number of small mammals in Verkhnyaya Angara basin (accounting period since 20.07 to 20.08 individuals /100 trap-nights","A",4,1979,1982,16,4,1,59,"Density",NA
449,"Terrestrial","Temperate","Mammals","Indicators of abundance (individuals / 100 trap-nights) of different species of small mammals in different years with using trap grooves and a coefficient characterizing the adverse conditions winter","A",10,2000,2009,9,10,1,54,"Density",NA
450,"Marine","Temperate","Fish","Composition (%) and biomass (thous. tons) of fish species  in Olyutorsky-Navarin area in 2005-2012","B",4,2005,2012,26,4,1,103,NA,"Weight"
451,"Marine","Temperate","Fish","Composition (%) and biomass (thous. tons) of fish species  in  Gulf of Anadyr in 2005-2012","B",4,2005,2012,20,4,1,78,NA,"Weight"
452,"Marine","Temperate","Fish","Year-to-year dynamics of total nekton biomass (thous. tons) in the upper epipelagic of the North-West Pacific in June-July of 2000s","B",8,2004,2012,13,8,1,100,NA,"Weight"
453,"Freshwater","Polar/Temperate","Freshwater invertebrates","Population dynamics of some species founded in all periods of study in the lake Bolshoi Kharbei in late July - early August (thous.individuals/m3)","A",3,1969,2010,15,3,1,42,"Density",NA
454,"Freshwater","Temperate","Freshwater invertebrates","Damselfly abundance data from freshwater ponds around Cairngorms region","A",3,2014,2016,6,200,94,522,"Density",NA
455,"Marine","Tropical","Marine invertebrates","Dynamics of a coral reef community","A",3,2003,2005,58,9,3,160,"MeanCount",NA
456,"Marine","Tropical","Marine invertebrates","Dynamics of a coral reef community","A",6,2003,2010,133,6,1,443,"MeanCount",NA
457,"Marine","Tropical","Marine invertebrates","Dynamics of a coral reef community","A",8,2003,2014,226,35,8,2297,"MeanCount",NA
458,"Terrestrial","Temperate","Terrestrial invertebrates","Beetles from the Bavarian Forest logged","A",4,2008,2011,150,88,22,1932,"Count",NA
459,"Terrestrial","Temperate","Birds","Birds from the Bavarian Forest logged","A",3,2010,2014,44,63,21,343,"Count",NA
460,"Terrestrial","Temperate","Fungi","Fungi from the Bavarian Forest logged","A",5,2007,2011,85,86,19,591,"Count",NA
461,"Terrestrial","Temperate","Fungi","Lichens (obj) from the Bavarian Forest logged","A",5,2007,2011,20,93,19,544,"Count",NA
462,"Terrestrial","Temperate","Fungi","Lichens (soil) from the Bavarian Forest logged","A",5,2007,2011,4,21,10,25,"Count",NA
463,"Terrestrial","Temperate","Terrestrial plants","Mosses (obj) from the Bavarian Forest logged","A",5,2007,2011,33,93,19,633,"Count",NA
464,"Terrestrial","Temperate","Terrestrial plants","Mosses (soil) from the Bavarian Forest logged","",5,2007,2011,33,120,24,739,"Count",NA
465,"Terrestrial","Temperate","Terrestrial plants","Plants from the Bavarian Forest logged","B",6,2007,2012,45,130,22,875,"Count",NA
466,"Marine","Temperate","Fish","Trawl Survey Data from Rockall Scotland (1986 - 2008)","A",23,1986,2008,94,1936,1401,27592,"Count",NA
467,"Marine","Temperate","Fish","Spatial and temporal organisation of a coastal lagoon fish community","AB",4,1987,1999,72,36,9,819,"Count","Weight"
468,"Marine","Temperate","Benthos","A multi-decade time series of kelp forest community structure at San Nicolas Island California.","A",31,1980,2011,151,3568,7,27700,"Density",NA
469,"Marine","Temperate","Benthos","A multi-decade time series of kelp forest community structure at the California Channel Islands.","A",30,1982,2011,38,595,33,10443,"Density",NA
471,"Terrestrial","Temperate","Terrestrial plants","Prescribed Burn Effect on Chihuahuan Desert Grasses and Shrubs at the Sevilleta National Wildlife Refuge","A",10,2004,2013,162,7600,1,37979,"Count",NA
473,"Terrestrial","Temperate","Terrestrial plants","Fourteen years of mapped permanent quadrats in a northern mixed prairie","A",14,1932,1945,95,504,1,2350,"Count",NA
475,"Terrestrial","Temperate","Birds","Structure and dynamics of a passerine bird community in a spruce-dominated boreal forest","A",12,1960,1972,34,12,1,327,"Count",NA
476,"Terrestrial","Tropical","Terrestrial invertebrates","Bromeliad invertebrate counts at different elevations in the Luquillo Experimental Forest","A",4,1993,1997,304,210,1,3268,"Count",NA
477,"Marine","Temperate","Marine invertebrates","Epifaunal invertebrate survey from Goodwin Islands York River Estuary Chesapeake Bay","AB",15,1998,2012,41,840,1,5914,"Count","Weight"
478,"Freshwater","Temperate","Freshwater invertebrates","Long term study of the stream ecosystems in the Breitenbach","A",37,1969,2005,90,37,1,1537,"Count",NA
479,"Terrestrial","Polar","Terrestrial plants","ITEX Dataset 1 - Abisko (Wet, Dry, Peatland), Kanger (Bashful, Dopey, Sneezy) and Kilpisjarvi","B",9,1999,2008,75,369,7,2553,NA,"Cover"
480,"Terrestrial","Temperate","Terrestrial plants","ITEX Dataset 2 - Wolfcreek","B",3,1998,2008,33,50,1,543,NA,"Cover"
481,"Terrestrial","Polar","Terrestrial plants","ITEX Dataset 3 - Bylot (Mesprairie and Mespolygon)","B",3,2001,2008,23,57,2,452,NA,"Cover"
482,"Terrestrial","Polar","Terrestrial plants","ITEX Dataset 4 - Qhi (He and Ko)","B",3,1999,2009,48,36,2,640,NA,"Cover"
483,"Terrestrial","Temperate","Terrestrial plants","ITEX Dataset 5 - Teberda (Malaya Alpine-Snowbed and Geranium Hedysarum Meadow)","B",24,1986,2009,54,830,1,6445,NA,"Cover"
484,"Terrestrial","Polar","Terrestrial plants","ITEX Dataset 6 - Atqasuk (AW, AD) and Barrow (BW, BD)","B",6,1995,2008,88,576,4,9136,NA,"Cover"
485,"Terrestrial","Temperate","Terrestrial plants","ITEX Dataset 7 - Akureyri (GA66, MD72, SB63, SY59), Blonduos (SD33, SD34), Dalsmynni (AG4, KD24, KD25), Hjardarland (LH92, SH90), Holtavorduheidi (AH37, AH38, VH49), Modruvellir (LH69, MV51, MV52), Oxnadalsheidi (SA16, SA17, SA19) and Thykkvibaer (HH100, RT81, VE82)","B",3,1997,2005,128,460,23,6325,NA,"Cover"
486,"Terrestrial","Temperate","Terrestrial plants","ITEX Dataset 8 - Valbercla (Alpine)","B",3,1994,2009,47,45,1,761,NA,"Cover"
487,"Terrestrial","Polar","Terrestrial plants","ITEX Dataset 9 - Alexfiord (Levdolomite, Levgranite) and Sverdrup","B",2,1992,2009,19,143,3,536,NA,"Cover"
488,"Terrestrial","Temperate","Terrestrial plants","ITEX Dataset 10 - RMBL","B",14,1991,2005,3,140,1,347,NA,"Cover"
489,"Terrestrial","Temperate","Terrestrial plants","ITEX Dataset 11 - Finse (Ridge)","B",3,2000,2008,55,150,1,3266,NA,"Cover"
490,"Terrestrial","Temperate","Terrestrial plants","ITEX Dataset 12 - Finse (Slope)","B",2,2000,2003,57,40,1,1053,NA,"Cover"
491,"Terrestrial","Polar","Terrestrial plants","ITEX Dataset 13 - Toolik (Dry, Moist)","B",7,1994,2008,86,74,1,1450,NA,"Cover"
492,"Terrestrial","Polar","Terrestrial plants","ITEX Dataset 14 - Toolik (LTER Heath, LTER Moist acidic tussock, LTER non-acidic tussock, LTER wet sedge, SAG wet sedge2, Tussock 1981 plots)","B",13,1982,2006,30,81,1,797,NA,"Cover"
493,"Terrestrial","Polar","Terrestrial plants","ITEX Dataset 15 - Sadvent (MES-cover, MES-photo, wet-cover, wet-photo)","B",2,2003,2008,50,60,1,486,NA,"Cover"
494,"Terrestrial","Temperate","Terrestrial plants","ITEX Dataset 16 - Finse (Nfinse, Ridge cover)","B",4,1997,2008,67,172,2,778,NA,"Cover"
495,"Terrestrial","Temperate","Terrestrial plants","ITEX Dataset 17 - Dovre (Kuntshoe) and Faroe (Sornfelli)","B",4,1999,2008,77,122,2,1703,NA,"Cover"
496,"Terrestrial","Temperate","Terrestrial plants","ITEX Dataset 18 - Alpine plots (Sonja Wipf)","B",2,2000,2008,222,54,15,1967,NA,"Cover"
497,"Terrestrial","Temperate","Terrestrial plants","ITEX Dataset 19 - Teberda (Festuca Varia Grassland, Malaya Alpine Lichen-Heath)","B",29,1981,2009,59,2699,1,24350,NA,"Cover"
